date,mean_concentration
2019-01-01,7.019498084016057e+22
2019-01-16,7.982847726563788e+22
2019-02-01,7.869665564884521e+22
2019-02-16,7.5305267620196e+22
2019-03-01,7.517665130805111e+22
2019-03-16,7.640725375629e+22
2019-04-01,7.722801583710807e+22
2019-04-16,7.364640185996698e+22
2019-05-01,7.461157410434283e+22
2019-05-16,7.849315842985659e+22
2019-06-01,7.759628711875446e+22
2019-06-16,7.860171085317829e+22
2019-07-01,7.935522840355536e+22
2019-07-16,7.731964059164195e+22
2019-08-01,7.538876109868227e+22
2019-08-16,7.648467817593288e+22
2019-09-01,7.466645733384778e+22
2019-09-16,7.538355216609443e+22
2019-10-01,7.484837701242293e+22
2019-10-16,7.458215321545615e+22
2019-11-01,7.0685872177002674e+22
2019-11-16,7.193841269997406e+22
2019-12-01,7.054417870674564e+22
2019-12-16,
2020-01-01,7.828341569446304e+22
2020-01-16,7.93559681199869e+22
2020-02-01,7.968676264454492e+22
2020-02-16,8.460247266866568e+22
2020-03-01,8.017806677797753e+22
2020-03-16,8.512716216901617e+22
2020-04-01,8.435593569207861e+22
2020-04-16,8.055939774914671e+22
2020-05-01,8.122274961350777e+22
2020-05-16,7.57875895307014e+22
2020-06-01,7.555944397189077e+22
2020-06-16,7.564096072555662e+22
2020-07-01,7.568680742196237e+22
2020-07-16,7.538662853482465e+22
2020-08-01,7.45542913127227e+22
2020-08-16,7.214158021303764e+22
2020-09-01,7.3528708445837246e+22
2020-09-16,7.301598992962934e+22
2020-10-01,7.113356126663144e+22
2020-10-16,6.995966454416653e+22
2020-11-01,7.246253596133552e+22
2020-11-16,7.443436008013302e+22
2020-12-01,7.3973669899098254e+22
2020-12-16,7.400976754238547e+22
2021-01-01,6.890455479391404e+22
2021-01-16,7.185229889139307e+22
2021-02-01,7.969439849742897e+22
2021-02-16,7.521943515329987e+22
2021-03-01,7.685303523224959e+22
2021-04-01,8.182459420296032e+22
2021-04-16,8.046758172710975e+22
2021-05-01,8.35695795641182e+22
2021-05-16,7.745288096846444e+22
2021-06-01,7.875634663990598e+22
2021-06-16,7.821871414760817e+22
2021-07-01,7.91093318131653e+22
2021-07-16,7.777207729978631e+22
2021-08-01,7.78821492815851e+22
2021-08-16,7.728091489290724e+22
2021-09-01,7.586649362564573e+22
2021-09-16,7.530203912507367e+22
2021-10-01,7.39760462392629e+22
2021-10-16,7.437382092090331e+22
2021-11-01,7.337648407221916e+22
2021-11-16,7.079578491643644e+22
2021-12-01,7.490439622816825e+22
2021-12-16,7.720026074554002e+22
2022-01-01,7.885356963514273e+22
2022-01-16,7.392068363828573e+22
2022-02-01,8.339911194249521e+22
2022-02-16,8.403321762315344e+22
2022-03-01,8.217191926790238e+22
2022-03-16,7.687032851271441e+22
2022-04-01,7.867956802944355e+22
2022-04-16,8.146727987475687e+22
2022-05-01,7.80780542906093e+22
2022-05-16,7.93332660205559e+22
2022-06-01,7.89393556454097e+22
2022-06-16,8.098445505512384e+22
2022-07-01,7.839962064121673e+22
2022-07-16,7.72087247657276e+22
2022-08-01,7.609874157519738e+22
2022-08-16,7.601687905868197e+22
2022-09-01,7.694397433090283e+22
2022-09-16,7.649164168949235e+22
2022-10-01,7.576701564505696e+22
2022-10-16,7.527167150900533e+22
2022-11-01,7.5399118627030216e+22
2022-11-16,7.0685000860192865e+22
2022-12-01,7.055901204179015e+22
2022-12-16,7.166249755725943e+22
2023-01-01,6.940684976290005e+22
2023-01-16,7.493451226588158e+22
2023-02-01,7.273704628135545e+22
2023-02-16,7.760392807909893e+22
2023-03-01,7.269007185883556e+22
2023-03-16,8.118426033807412e+22
2023-04-01,8.387775982559361e+22
2023-04-16,8.056853037754979e+22
2023-05-01,8.159389013436736e+22
2023-05-16,8.054138248254418e+22
2023-06-01,8.131964184732572e+22
2023-06-16,7.76157660611589e+22
2023-07-01,7.863354428952504e+22
2023-07-16,7.559838928593337e+22
2023-08-01,7.746377050437346e+22
2023-08-16,7.738255776949501e+22
2023-09-01,7.657581800397346e+22
2023-09-16,7.58018558089282e+22
2023-10-01,7.416029118453102e+22
2023-10-16,7.418875906749241e+22
2023-11-01,7.460625110077974e+22
2023-11-16,7.568715521706584e+22
2023-12-01,7.869304946109548e+22
2023-12-16,7.59703024840577e+22
